epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1491,0.78001,2.52454,1.06152,0.00649,1,0.72959,0.60387,0.45366,2.79452,0.91156,6e-05,6e-05,6e-05
2,73.0609,0.71615,2.09731,1.05222,0.00649,1,0.81044,0.64144,0.56585,2.70539,0.92468,0.00013538,0.00013538,0.00013538
3,108.323,0.71217,1.46745,1.07976,1,0.68731,0.91973,0.76949,0.50995,2.37446,0.90522,0.00020548,0.00020548,0.00020548
4,142.775,0.62346,1.01577,0.97392,1,0.61381,0.95622,0.79565,0.51477,2.3108,0.90935,0.0002703,0.0002703,0.0002703
5,177.513,0.64749,0.88555,0.9544,0.97885,0.87611,0.94464,0.78342,0.58121,2.08982,0.93481,0.00032984,0.00032984,0.00032984
6,215.589,0.64601,1.05653,1.02725,0.98947,0.83153,0.93228,0.78499,0.55916,1.51678,0.92347,0.0003841,0.0003841,0.0003841
7,250.99,0.70611,1.00751,1.02246,0.97958,0.84887,0.93633,0.81791,0.52138,1.59033,0.88868,0.00043308,0.00043308,0.00043308
8,287.837,0.63001,0.92209,0.95868,0.97076,0.88141,0.94363,0.81796,0.53159,1.64238,0.91559,0.00047678,0.00047678,0.00047678
9,324.808,0.61627,0.908,0.98362,0.98062,0.89576,0.96601,0.82626,0.56598,1.50334,0.92573,0.0005152,0.0005152,0.0005152
10,359.428,0.6074,0.86067,0.97596,0.95877,0.9115,0.96586,0.84575,0.5331,1.51616,0.92173,0.00054834,0.00054834,0.00054834
11,393.884,0.62068,0.90698,0.95506,0.94451,0.90386,0.96637,0.82086,0.56293,1.67071,0.9214,0.0005762,0.0005762,0.0005762
12,428.231,0.59526,0.79954,0.94711,0.99072,0.88496,0.96951,0.82825,0.57576,1.57159,0.94781,0.00059878,0.00059878,0.00059878
13,462.538,0.61446,0.81034,0.94536,0.9882,0.88496,0.95955,0.80851,0.59436,1.45529,0.94807,0.00061608,0.00061608,0.00061608
14,496.831,0.58168,0.8343,0.95339,0.97962,0.90265,0.96319,0.82677,0.5406,1.3968,0.92443,0.0006281,0.0006281,0.0006281
15,531.638,0.60487,0.87479,0.97023,0.99015,0.88996,0.96507,0.82588,0.52376,1.41239,0.89033,0.00063484,0.00063484,0.00063484
16,565.796,0.69176,0.84171,0.99878,0.93701,0.90265,0.94941,0.80858,0.54342,1.39951,0.89185,0.0006363,0.0006363,0.0006363
17,600.973,0.62324,0.78489,0.97264,0.97287,0.82301,0.93573,0.81247,0.52975,1.41418,0.88743,0.00063248,0.00063248,0.00063248
18,635.41,0.56693,0.7623,0.923,0.97053,0.87435,0.96106,0.83669,0.50274,1.40767,0.88606,0.00062338,0.00062338,0.00062338
19,669.869,0.60499,0.75699,0.95846,0.94592,0.92873,0.97469,0.84974,0.51737,1.36784,0.89353,0.000609,0.000609,0.000609
20,709.704,0.68182,0.83485,1.0235,0.95593,0.9599,0.98946,0.8619,0.50527,1.23647,0.89051,0.00058934,0.00058934,0.00058934
21,753.021,0.54691,1.19116,0.92485,0.99543,0.84956,0.97401,0.86403,0.47906,1.07183,0.90491,0.0005644,0.0005644,0.0005644
22,796.139,0.50474,0.91509,0.89851,0.97051,0.84956,0.96301,0.85362,0.50357,1.12996,0.94088,0.00053418,0.00053418,0.00053418
23,839.266,0.50331,0.93194,0.91367,1,0.9114,0.9876,0.8885,0.5123,1.18472,0.92653,0.00049868,0.00049868,0.00049868
24,882.946,0.48885,0.95169,0.89102,0.99078,0.95113,0.99387,0.88032,0.54011,1.38484,0.93215,0.0004579,0.0004579,0.0004579
25,926.312,0.48525,1.00288,0.90119,1,0.97751,0.995,0.89983,0.47411,1.36748,0.87671,0.00041184,0.00041184,0.00041184
26,969.542,0.47709,0.94223,0.86895,1,0.99026,0.995,0.89903,0.44471,1.25473,0.85544,0.00035,0.00035,0.00035
27,1013.58,0.45301,0.86422,0.85751,0.99354,0.9823,0.99491,0.90723,0.42121,1.12164,0.84321,0.000284,0.000284,0.000284
28,1057.56,0.45168,0.85957,0.92351,1,0.99837,0.995,0.92086,0.39961,1.02173,0.83133,0.000218,0.000218,0.000218
29,1104.53,0.43316,0.84928,0.87046,1,0.99612,0.995,0.92462,0.38723,0.95404,0.82861,0.000152,0.000152,0.000152
30,1153.07,0.44531,0.86847,0.86276,0.9994,1,0.995,0.92672,0.38101,0.91475,0.82727,8.6e-05,8.6e-05,8.6e-05
